WebsiteUrl,Dimension,Sessions,Range
https://dhsc.wda.gov.tw/,ga:tabletPageSessions,117,30daysAgo
https://www.hengchun-house.gov.tw/,ga:desktopPageSessions,2018,7daysAgo
http://www.pt-land.gov.tw/,ga:mobilePageSessions,1554,7daysAgo
http://www.hcepb.gov.tw,ga:tabletPageSessions,37,7daysAgo
http://www.citax.gov.tw,ga:desktopPageSessions,145,today
http://ticfl.tyc.edu.tw/newarrivals/,ga:mobilePageSessions,66,today
https://ecocampus.epa.gov.tw/,ga:tabletPageSessions,3,today
https://en.cksmh.gov.tw,ga:desktopPageSessions,1152,30daysAgo
http://algal-reef.tycg.gov.tw,ga:mobilePageSessions,793,30daysAgo
https://www.apc.gov.tw/portal/index.html,ga:tabletPageSessions,34,30daysAgo
https://www.hrd.gov.tw/,ga:desktopPageSessions,112,7daysAgo
https://www.titic.apc.gov.tw/,ga:mobilePageSessions,53,7daysAgo
https://south.cwb.gov.tw/index,ga:desktopPageSessions,6,today
https://dpws.sfaa.gov.tw/,ga:mobilePageSessions,1,today
https://renewable.yunlin.gov.tw,ga:desktopPageSessions,4416,30daysAgo
https://www.tlm.taichung.gov.tw/,ga:mobilePageSessions,4000,30daysAgo
https://safety.taichung.gov.tw,ga:tabletPageSessions,67,30daysAgo
https://ohsip.osha.gov.tw/,ga:desktopPageSessions,1328,7daysAgo
https://www.gwsm.gov.tw,ga:mobilePageSessions,1082,7daysAgo
http://52.184.83.130,ga:tabletPageSessions,19,7daysAgo
http://dmnc.nmns.edu.tw,ga:desktopPageSessions,83,today
https://taisoc.taitung.gov.tw/,ga:mobilePageSessions,71,today
https://www.tainan.gov.tw,ga:tabletPageSessions,1,today
https://www.ttsb.gov.tw,ga:desktopPageSessions,34316,30daysAgo
https://job.tainan.gov.tw/,ga:mobilePageSessions,50552,30daysAgo
https://sports.kcg.gov.tw,ga:tabletPageSessions,483,30daysAgo
https://kbs.yihistory.e-land.gov.tw/,ga:desktopPageSessions,10804,7daysAgo
https://swdl.swcb.gov.tw,ga:mobilePageSessions,10366,7daysAgo
https://cirn.moe.edu.tw,ga:tabletPageSessions,115,7daysAgo
http://tychakka.tycg.gov.tw,ga:desktopPageSessions,895,today
https://www.taitung.gov.tw,ga:mobilePageSessions,592,today
http://www.ndmctsgh.edu.tw/,ga:tabletPageSessions,10,today
https://www.nlsc.gov.tw,ga:desktopPageSessions,155474,30daysAgo
https://serv.swcb.gov.tw,ga:mobilePageSessions,23930,30daysAgo
https://household.tycg.gov.tw,ga:tabletPageSessions,267,30daysAgo
https://dfm.swcb.gov.tw/dfm/,ga:desktopPageSessions,49208,7daysAgo
